nodes_touched,conv,iters,game_name,algorithm_name
0,3.542657732963562,0,BigLeduc,DeepCFR2
55465,5.674516677856445,1,BigLeduc,DeepCFR2
99440,3.033930480480194,2,BigLeduc,DeepCFR2
150020,1.7268686592578888,3,BigLeduc,DeepCFR2
187661,1.2578797340393066,4,BigLeduc,DeepCFR2
223467,1.1393476724624634,5,BigLeduc,DeepCFR2
272990,1.3328787684440613,6,BigLeduc,DeepCFR2
325727,1.2643078565597534,7,BigLeduc,DeepCFR2
371641,1.2503363490104675,8,BigLeduc,DeepCFR2
426193,1.0486570596694946,9,BigLeduc,DeepCFR2
481114,1.074301391839981,10,BigLeduc,DeepCFR2
525239,0.9723177552223206,11,BigLeduc,DeepCFR2
572917,0.8565605282783508,12,BigLeduc,DeepCFR2
608635,0.6581094264984131,13,BigLeduc,DeepCFR2
653172,0.5534619390964508,14,BigLeduc,DeepCFR2
695698,0.5298934280872345,15,BigLeduc,DeepCFR2
739671,0.5462051928043365,16,BigLeduc,DeepCFR2
782056,0.4996010661125183,17,BigLeduc,DeepCFR2
831072,0.5385387688875198,18,BigLeduc,DeepCFR2
876194,0.5644806325435638,19,BigLeduc,DeepCFR2
920346,0.5451604276895523,20,BigLeduc,DeepCFR2
959122,0.4736616462469101,21,BigLeduc,DeepCFR2
1011816,0.52930548787117,22,BigLeduc,DeepCFR2
1058308,0.4820626378059387,23,BigLeduc,DeepCFR2
1093792,0.4330064505338669,24,BigLeduc,DeepCFR2
1128943,0.46724075078964233,25,BigLeduc,DeepCFR2
1159833,0.4200061559677124,26,BigLeduc,DeepCFR2
1197736,0.39481715857982635,27,BigLeduc,DeepCFR2
1231494,0.36210112273693085,28,BigLeduc,DeepCFR2
1264789,0.39045456051826477,29,BigLeduc,DeepCFR2
1296505,0.3425584137439728,30,BigLeduc,DeepCFR2
1334064,0.34235431253910065,31,BigLeduc,DeepCFR2
1367905,0.32472699880599976,32,BigLeduc,DeepCFR2
1402278,0.33389341831207275,33,BigLeduc,DeepCFR2
1437885,0.34592702984809875,34,BigLeduc,DeepCFR2
1472353,0.3456975817680359,35,BigLeduc,DeepCFR2
1506264,0.30620668828487396,36,BigLeduc,DeepCFR2
1547998,0.33149370551109314,37,BigLeduc,DeepCFR2
1578524,0.3342144638299942,38,BigLeduc,DeepCFR2
1617767,0.33989982306957245,39,BigLeduc,DeepCFR2
1657483,0.3233712762594223,40,BigLeduc,DeepCFR2
1698616,0.3640059679746628,41,BigLeduc,DeepCFR2
1737729,0.3924514055252075,42,BigLeduc,DeepCFR2
1781198,0.5265874266624451,43,BigLeduc,DeepCFR2
1828469,0.45690059661865234,44,BigLeduc,DeepCFR2
1868329,0.3950475603342056,45,BigLeduc,DeepCFR2
1919096,0.4418966621160507,46,BigLeduc,DeepCFR2
1968371,0.39129738509655,47,BigLeduc,DeepCFR2
2007324,0.45729362964630127,48,BigLeduc,DeepCFR2
2054490,0.49700748920440674,49,BigLeduc,DeepCFR2
2096608,0.4966318756341934,50,BigLeduc,DeepCFR2
2134431,0.4439254105091095,51,BigLeduc,DeepCFR2
2177362,0.44347332417964935,52,BigLeduc,DeepCFR2
2213142,0.4144585281610489,53,BigLeduc,DeepCFR2
2259594,0.3852134943008423,54,BigLeduc,DeepCFR2
2290276,0.3788134753704071,55,BigLeduc,DeepCFR2
2327903,0.3673744797706604,56,BigLeduc,DeepCFR2
2366347,0.3514103442430496,57,BigLeduc,DeepCFR2
2412827,0.3876359760761261,58,BigLeduc,DeepCFR2
