nodes_touched,conv,iters,game_name,algorithm_name
5168315,0.34532853960990906,122,BigLeduc,DeepCFR
5196566,0.34532853960990906,123,BigLeduc,DeepCFR
5227617,0.34532853960990906,124,BigLeduc,DeepCFR
5272803,0.34532853960990906,125,BigLeduc,DeepCFR
5314395,0.34532853960990906,126,BigLeduc,DeepCFR
5357962,0.34532853960990906,127,BigLeduc,DeepCFR
5397295,0.34532853960990906,128,BigLeduc,DeepCFR
5437505,0.34532853960990906,129,BigLeduc,DeepCFR
5476478,0.34532853960990906,130,BigLeduc,DeepCFR
5509693,0.34532853960990906,131,BigLeduc,DeepCFR
5539783,0.34532853960990906,132,BigLeduc,DeepCFR
5580401,0.34532853960990906,133,BigLeduc,DeepCFR
5610674,0.34532853960990906,134,BigLeduc,DeepCFR
5653240,0.333444207906723,135,BigLeduc,DeepCFR
5690638,0.333444207906723,136,BigLeduc,DeepCFR
5732772,0.333444207906723,137,BigLeduc,DeepCFR
5760842,0.333444207906723,138,BigLeduc,DeepCFR
5792172,0.333444207906723,139,BigLeduc,DeepCFR
5829195,0.333444207906723,140,BigLeduc,DeepCFR
5882679,0.333444207906723,141,BigLeduc,DeepCFR
5925720,0.333444207906723,142,BigLeduc,DeepCFR
5963153,0.333444207906723,143,BigLeduc,DeepCFR
6015556,0.333444207906723,144,BigLeduc,DeepCFR
6066782,0.333444207906723,145,BigLeduc,DeepCFR
6115814,0.333444207906723,146,BigLeduc,DeepCFR
6153695,0.333444207906723,147,BigLeduc,DeepCFR
6208229,0.333444207906723,148,BigLeduc,DeepCFR
6260474,0.333444207906723,149,BigLeduc,DeepCFR
6293300,0.2896621748805046,150,BigLeduc,DeepCFR
6333946,0.2896621748805046,151,BigLeduc,DeepCFR
6383397,0.2896621748805046,152,BigLeduc,DeepCFR
6414342,0.2896621748805046,153,BigLeduc,DeepCFR
6448230,0.2896621748805046,154,BigLeduc,DeepCFR
6483590,0.2896621748805046,155,BigLeduc,DeepCFR
6520925,0.2896621748805046,156,BigLeduc,DeepCFR
6554936,0.2896621748805046,157,BigLeduc,DeepCFR
6587271,0.2896621748805046,158,BigLeduc,DeepCFR
6620719,0.2896621748805046,159,BigLeduc,DeepCFR
6658748,0.2896621748805046,160,BigLeduc,DeepCFR
6696824,0.2896621748805046,161,BigLeduc,DeepCFR
6738975,0.2896621748805046,162,BigLeduc,DeepCFR
6773284,0.2896621748805046,163,BigLeduc,DeepCFR
6817955,0.2896621748805046,164,BigLeduc,DeepCFR
6867160,0.29791124165058136,165,BigLeduc,DeepCFR
6900252,0.29791124165058136,166,BigLeduc,DeepCFR
6939822,0.29791124165058136,167,BigLeduc,DeepCFR
6986588,0.29791124165058136,168,BigLeduc,DeepCFR
7025285,0.29791124165058136,169,BigLeduc,DeepCFR
7062057,0.29791124165058136,170,BigLeduc,DeepCFR
7096997,0.29791124165058136,171,BigLeduc,DeepCFR
7138065,0.29791124165058136,172,BigLeduc,DeepCFR
7172485,0.29791124165058136,173,BigLeduc,DeepCFR
7203436,0.29791124165058136,174,BigLeduc,DeepCFR
7248535,0.29791124165058136,175,BigLeduc,DeepCFR
7293992,0.29791124165058136,176,BigLeduc,DeepCFR
7328161,0.29791124165058136,177,BigLeduc,DeepCFR
7362441,0.29791124165058136,178,BigLeduc,DeepCFR
7404374,0.29791124165058136,179,BigLeduc,DeepCFR
7452450,0.29425056278705597,180,BigLeduc,DeepCFR
7491390,0.29425056278705597,181,BigLeduc,DeepCFR
7526442,0.29425056278705597,182,BigLeduc,DeepCFR
7558029,0.29425056278705597,183,BigLeduc,DeepCFR
7594577,0.29425056278705597,184,BigLeduc,DeepCFR
7629521,0.29425056278705597,185,BigLeduc,DeepCFR
7667474,0.29425056278705597,186,BigLeduc,DeepCFR
7705256,0.29425056278705597,187,BigLeduc,DeepCFR
7741745,0.29425056278705597,188,BigLeduc,DeepCFR
7773573,0.29425056278705597,189,BigLeduc,DeepCFR
7809467,0.29425056278705597,190,BigLeduc,DeepCFR
7845319,0.29425056278705597,191,BigLeduc,DeepCFR
7873284,0.29425056278705597,192,BigLeduc,DeepCFR
7907568,0.29425056278705597,193,BigLeduc,DeepCFR
7946129,0.29425056278705597,194,BigLeduc,DeepCFR
7981830,0.25143398344516754,195,BigLeduc,DeepCFR
8013506,0.25143398344516754,196,BigLeduc,DeepCFR
8048315,0.25143398344516754,197,BigLeduc,DeepCFR
8087520,0.25143398344516754,198,BigLeduc,DeepCFR
8124928,0.25143398344516754,199,BigLeduc,DeepCFR
8158776,0.25143398344516754,200,BigLeduc,DeepCFR
8202074,0.25143398344516754,201,BigLeduc,DeepCFR
8238938,0.25143398344516754,202,BigLeduc,DeepCFR
8274259,0.25143398344516754,203,BigLeduc,DeepCFR
8312868,0.25143398344516754,204,BigLeduc,DeepCFR
8352972,0.25143398344516754,205,BigLeduc,DeepCFR
8386761,0.25143398344516754,206,BigLeduc,DeepCFR
8422406,0.25143398344516754,207,BigLeduc,DeepCFR
8453160,0.25143398344516754,208,BigLeduc,DeepCFR
8487381,0.25143398344516754,209,BigLeduc,DeepCFR
8519575,0.2239341214299202,210,BigLeduc,DeepCFR
8557926,0.2239341214299202,211,BigLeduc,DeepCFR
8584880,0.2239341214299202,212,BigLeduc,DeepCFR
8614561,0.2239341214299202,213,BigLeduc,DeepCFR
