nodes_touched,conv,iters,game_name,algorithm_name
0,2.7005730867385864,0,LeducPoker,DeepCFR
54920,2.5560839250683784,1,LeducPoker,DeepCFR
123200,2.5833523273468018,2,LeducPoker,DeepCFR
186842,1.8818061351776123,3,LeducPoker,DeepCFR
250618,1.5136719942092896,4,LeducPoker,DeepCFR
315102,1.090814471244812,5,LeducPoker,DeepCFR
379141,0.8323984146118164,6,LeducPoker,DeepCFR
438335,0.6447025239467621,7,LeducPoker,DeepCFR
498373,0.5863909721374512,8,LeducPoker,DeepCFR
563730,0.5084877908229828,9,LeducPoker,DeepCFR
624106,0.44334687292575836,10,LeducPoker,DeepCFR
685139,0.42573775351047516,11,LeducPoker,DeepCFR
745187,0.3850569725036621,12,LeducPoker,DeepCFR
802681,0.36300039291381836,13,LeducPoker,DeepCFR
870125,0.34838296473026276,14,LeducPoker,DeepCFR
942927,0.3123887777328491,15,LeducPoker,DeepCFR
1012901,0.30980370938777924,16,LeducPoker,DeepCFR
1075972,0.26262032985687256,17,LeducPoker,DeepCFR
1147650,0.2976933717727661,18,LeducPoker,DeepCFR
1206718,0.2780771479010582,19,LeducPoker,DeepCFR
1267112,0.2619522511959076,20,LeducPoker,DeepCFR
1334974,0.25632256269454956,21,LeducPoker,DeepCFR
1397990,0.23767778277397156,22,LeducPoker,DeepCFR
1459543,0.2095639854669571,23,LeducPoker,DeepCFR
1518390,0.21099162101745605,24,LeducPoker,DeepCFR
1580334,0.21648386120796204,25,LeducPoker,DeepCFR
1645659,0.1934274360537529,26,LeducPoker,DeepCFR
1707907,0.200925774872303,27,LeducPoker,DeepCFR
1770563,0.20792822539806366,28,LeducPoker,DeepCFR
1832416,0.1909584105014801,29,LeducPoker,DeepCFR
1898864,0.19417816400527954,30,LeducPoker,DeepCFR
1964654,0.20554478466510773,31,LeducPoker,DeepCFR
2035599,0.22694817185401917,32,LeducPoker,DeepCFR
2097819,0.2564651891589165,33,LeducPoker,DeepCFR
2162070,0.24833597987890244,34,LeducPoker,DeepCFR
2222493,0.2503768354654312,35,LeducPoker,DeepCFR
2283645,0.24184950441122055,36,LeducPoker,DeepCFR
2348620,0.226657934486866,37,LeducPoker,DeepCFR
2414221,0.2292874976992607,38,LeducPoker,DeepCFR
2479923,0.23769621551036835,39,LeducPoker,DeepCFR
2545559,0.22979843616485596,40,LeducPoker,DeepCFR
2611860,0.20021960139274597,41,LeducPoker,DeepCFR
2673768,0.19524887204170227,42,LeducPoker,DeepCFR
2739893,0.19447655975818634,43,LeducPoker,DeepCFR
2810190,0.21283361315727234,44,LeducPoker,DeepCFR
2881241,0.1972269043326378,45,LeducPoker,DeepCFR
2954111,0.2524859979748726,46,LeducPoker,DeepCFR
3022554,0.23152750730514526,47,LeducPoker,DeepCFR
3087688,0.20191576331853867,48,LeducPoker,DeepCFR
3151104,0.22651728987693787,49,LeducPoker,DeepCFR
3211100,0.19258622080087662,50,LeducPoker,DeepCFR
3273885,0.20052728801965714,51,LeducPoker,DeepCFR
3335286,0.19099056720733643,52,LeducPoker,DeepCFR
3398641,0.15585211664438248,53,LeducPoker,DeepCFR
3460755,0.16164007037878036,54,LeducPoker,DeepCFR
3526278,0.19040025770664215,55,LeducPoker,DeepCFR
3585867,0.15221316367387772,56,LeducPoker,DeepCFR
3649534,0.16428714990615845,57,LeducPoker,DeepCFR
3715810,0.16152937710285187,58,LeducPoker,DeepCFR
3785197,0.1764349788427353,59,LeducPoker,DeepCFR
3843977,0.1879732310771942,60,LeducPoker,DeepCFR
3906062,0.13947639614343643,61,LeducPoker,DeepCFR
3977352,0.1916021853685379,62,LeducPoker,DeepCFR
